name,type,description,description_beginner,synonyms,n_linked_studies,atlas_url
NLRP3,Pathway/Complex,"Inflammasome sensor driving IL-1β-mediated inflammation, regulated in part by mTOR-dependent immunometabolism.","An alarm system inside immune cells. When it senses damage or infection it assembles into a large complex and releases IL-1β, one of the body's strongest inflammation signals. How much fuel the cell is burning - something mTOR helps set - influences how loudly that alarm goes off.",,0,
Huntington's disease,Disease,Neurodegenerative disease caused by a toxic polyglutamine-expanded protein; cleared via mTOR-inhibition-induced autophagy in animal models.,"A brain disease caused by a faulty gene that makes a toxic, misshapen protein build up in neurons. In animal studies, drugs that block mTOR help cells clear this toxic protein out.",,2,
LARS (leucyl-tRNA synthetase),Gene/Protein,"Enzyme that charges tRNA with leucine, proposed as an alternative intracellular leucine sensor acting as a GAP for RagD. Competes with the Sestrin2 model - an unresolved question in the field.","An enzyme that loads the amino acid leucine onto its transport molecule (tRNA) so cells can build proteins. Some scientists think it might also work as a second sensor that tells mTORC1 when leucine is available - a rival idea to the more established Sestrin2 sensor, and the two ideas haven't been fully reconciled.",,1,
Bisphenol A,Nutrient/Metabolite,"Ubiquitous environmental plasticiser that disrupts intestinal barrier function and mitochondrial metabolism, perturbing AMPK-mTOR signalling.","A chemical used to harden plastics that leaks in small amounts into food and drink. In animal studies it damages the gut lining and the mitochondria (the cell's power plants), which throws off the AMPK-mTOR balance cells use to match growth to available energy.",,0,
Pungenin,Drug,Phenolic glucoside from Picea wilsonii that promotes hair regrowth via transcriptional regulation of the PI3K/AKT/FoxO/mTOR axis.,"A plant compound from a spruce tree, reported in lab studies to encourage hair regrowth. It appears to work by switching on the PI3K/AKT growth pathway that feeds into mTOR, telling hair-follicle cells it is time to grow again.",,0,
PIK3CA,Gene/Protein,"Phosphatidylinositol 3-kinase catalytic subunit alpha; its activating mutations (e.g. E545K, H1047R) frequently drive AKT/mTOR pathway hyperactivation in cancer.",A gene that makes part of an enzyme (PI3K) sitting just upstream of mTOR. Certain switched-on mutations in this gene are one of the most common ways cancer cells hijack the AKT/mTOR pathway to keep growing.,,1,
Lysosome,Organelle,The organelle on whose surface mTORC1 is activated. Nutrient signals converge here: mTORC1 must be physically recruited to the lysosomal membrane before Rheb can switch it on.,"A cell's recycling center and 'sensing station.' mTORC1 doesn't just float around the cell - it has to physically dock on the lysosome's surface before it can be switched on, so this is where a lot of the pathway's decision-making happens.",,4,https://mtor-atlas.org/organelle/lysosome/
Mitophagy,Biological process,"Selective autophagic degradation of damaged or dysfunctional mitochondria; regulated by the AMPK-mTOR-ULK1 axis and implicated in cardiac protection, neurodegeneration, and aging.",The process of clearing out damaged mitochondria (the cell's power plants). It's controlled by the AMPK-mTOR-ULK1 signaling chain and may help protect the heart and brain as we age.,,1,
PRAS40,Gene/Protein,"Insulin-regulated inhibitor subunit of mTORC1. Insulin triggers Akt to phosphorylate PRAS40, releasing its brake and switching mTORC1 on.","A brake on mTORC1 that insulin can release. When insulin signals arrive, a kinase called Akt tags this protein, which lets go of mTORC1 and allows it to switch on.",,1,
TSC1/TSC2,Gene/Protein,Tuberin-hamartin tumor suppressor complex; acts as a GTPase-activating protein for Rheb; integrates growth-factor and energy signals to control mTORC1.,"A two-protein 'off switch' for mTORC1. It works like a brake pedal on the protein Rheb - when a cell lacks nutrients or growth signals, this complex clamps down on Rheb and keeps mTORC1 turned off.",TSC1; TSC2; TSC1-TSC2; TSC complex; hamartin; tuberin,9,https://mtor-atlas.org/gene/tsc1-tsc2/
Kynurenic acid,Nutrient/Metabolite,A tryptophan metabolite produced by tumor microbiota (e.g. Fusobacterium nucleatum); activates the ITGA2-mTOR-CTSV axis to suppress CD8+ T cell function and drive immunotherapy resistance.,"A breakdown product of the amino acid tryptophan, made by bacteria that live inside some tumors. It switches on a signaling chain (through ITGA2 and mTOR) that weakens the immune system's T cells, helping tumors resist immunotherapy.",,1,
Autoimmune cytopenia,Disease,Immune-mediated destruction of blood cell lineages (including Evans syndrome and pure red cell aplasia) in which sirolimus is used as a T-cell-directed therapy.,"A group of conditions in which the immune system attacks and destroys the body's own blood cells. Because rapamycin (sirolimus) calms overactive T cells, it is used as a treatment when the standard drugs do not work.",,0,
SGK1,Gene/Protein,"Serum- and glucocorticoid-regulated kinase 1; a second major AGC kinase phosphorylated and activated by mTORC2 at its hydrophobic motif. Controls ion transport, cell survival, and glucose metabolism. mTORC2→SGK1 signaling is a key output branch of mTORC2 parallel to the mTORC2→Akt axis.","A signaling protein activated by mTORC2 (the second mTOR complex). It's a lesser-known cousin of Akt and helps control things like salt/water balance in cells, cell survival, and how cells handle sugar.",,0,
